#size: 130 23																						
# Age	Height (cm)	Weight (kg)	Total fat	Visceral fat	BMI	SF Body	SF Trunk	SF Arms	SF Legs	SM Body	SM Trunk	SM Arms	SM Legs	Shoulder R	Shoulder L	Rib	Waist	Thigh R	Thigh L	Flexion Angle (deg)	Extension (cm)	Force due to extension (N)
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	50	11	131
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	55	11.5	131
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	60	12.75	154.3333333
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	0	0	0
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	5	1	3.666666667
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	10	2.75	10.66666667
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	15	4	20.66666667
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	20	5.5	34
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	25	7	46.33333333
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	30	9	56
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	35	10.25	67
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	40	11.5	81.66666667
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	45	13.25	92
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	50	15	114
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	55	15.75	125.3333333
26	180	80.9	23.3	8.5	25	16.3	14.7	23.1	22.9	33.3	26.1	38.2	50.6	50	52	22	52	26	28	60	16.5	149.3333333
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	0	0	0
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	5	0.75	4.666666667
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	10	1.5	6.333333333
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	15	2.5	9
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	20	3.4	12.33333333
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	25	5.25	19.33333333
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	30	6.25	26.33333333
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	35	7.75	32
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	40	8.25	41
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	45	9.25	52.33333333
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	50	10.75	60.33333333
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	55	12	74.33333333
25	177	65.9	14	4.5	21	9.9	8.5	15.2	14.1	37	31.5	41.4	54.1	50	52	22	52	26	30	60	13.25	87.33333333
